 Total battles: 22508
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 62.48541% | 15425  | 34.266% | 12846  | 35.467% | 
 | 2    | Swampert           | 42.66278% | 13671  | 30.369% | 11241  | 31.036% | 
 | 3    | Skarmory           | 41.76891% | 10899  | 24.211% | 9813   | 27.093% | 
 | 4    | Metagross          | 38.65490% | 13480  | 29.945% | 10827  | 29.893% | 
 | 5    | Snorlax            | 31.27696% | 12567  | 27.917% | 10188  | 28.128% | 
 | 6    | Salamence          | 31.00836% | 12503  | 27.775% | 10170  | 28.079% | 
 | 7    | Magneton           | 30.84958% | 8161   | 18.129% | 5919   | 16.342% | 
 | 8    | Celebi             | 30.43103% | 9051   | 20.106% | 7475   | 20.638% | 
 | 9    | Gengar             | 29.07700% | 14284  | 31.731% | 11717  | 32.350% | 
 | 10   | Zapdos             | 28.81970% | 8375   | 18.604% | 7428   | 20.508% | 
 | 11   | Claydol            | 23.30353% | 3572   |  7.935% | 2866   |  7.913% | 
 | 12   | Blissey            | 22.92523% | 9597   | 21.319% | 7783   | 21.488% | 
 | 13   | Suicune            | 20.30562% | 6339   | 14.082% | 5269   | 14.547% | 
 | 14   | Jirachi            | 19.34080% | 4078   |  9.059% | 3215   |  8.876% | 
 | 15   | Dugtrio            | 15.61284% | 7147   | 15.877% | 5226   | 14.429% | 
 | 16   | Moltres            | 14.85056% | 1272   |  2.826% | 1029   |  2.841% | 
 | 17   | Aerodactyl         | 12.85064% | 6573   | 14.601% | 5065   | 13.984% | 
 | 18   | Flygon             | 11.98526% | 3425   |  7.608% | 2694   |  7.438% | 
 | 19   | Milotic            | 10.71103% | 4359   |  9.683% | 3533   |  9.754% | 
 | 20   | Jolteon            |  9.84562% | 6365   | 14.139% | 5533   | 15.276% | 
 | 21   | Heracross          |  9.45606% | 5391   | 11.976% | 4115   | 11.361% | 
 | 22   | Starmie            |  8.73047% | 5960   | 13.240% | 4399   | 12.145% | 
 | 23   | Forretress         |  4.16216% | 4509   | 10.016% | 3940   | 10.878% | 
 | 24   | Scizor             |  3.40203% | 1636   |  3.634% | 1181   |  3.261% | 
 | 25   | Gyarados           |  3.37546% | 3238   |  7.193% | 2667   |  7.363% | 
 | 26   | Regice             |  3.27909% | 1901   |  4.223% | 1523   |  4.205% | 
 | 27   | Porygon2           |  2.58436% | 1575   |  3.499% | 1227   |  3.388% | 
 | 28   | Vaporeon           |  2.44566% | 3790   |  8.419% | 2917   |  8.054% | 
 | 29   | Cloyster           |  2.26152% | 2177   |  4.836% | 1875   |  5.177% | 
 | 30   | Medicham           |  2.12585% | 1498   |  3.328% | 1142   |  3.153% | 
 | 31   | Weezing            |  2.01907% | 1841   |  4.090% | 1546   |  4.268% | 
 | 32   | Breloom            |  1.89359% | 3215   |  7.142% | 2499   |  6.900% | 
 | 33   | Umbreon            |  1.84046% | 3160   |  7.020% | 2639   |  7.286% | 
 | 34   | Steelix            |  1.83969% | 769    |  1.708% | 633    |  1.748% | 
 | 35   | Blaziken           |  1.66352% | 1913   |  4.250% | 1548   |  4.274% | 
 | 36   | Marowak            |  1.57511% | 1608   |  3.572% | 1209   |  3.338% | 
 | 37   | Smeargle           |  1.26724% | 1237   |  2.748% | 880    |  2.430% | 
 | 38   | Charizard          |  1.22669% | 1988   |  4.416% | 1532   |  4.230% | 
 | 39   | Raikou             |  1.08296% | 2465   |  5.476% | 1874   |  5.174% | 
 | 40   | Mr. Mime           |  1.06389% | 2009   |  4.463% | 1384   |  3.821% | 
 | 41   | Kingdra            |  1.02788% | 1414   |  3.141% | 1145   |  3.161% | 
 | 42   | Ludicolo           |  0.88889% | 1248   |  2.772% | 1028   |  2.838% | 
 | 43   | Cacturne           |  0.79898% | 364    |  0.809% | 309    |  0.853% | 
 | 44   | Venusaur           |  0.78087% | 1535   |  3.410% | 1264   |  3.490% | 
 | 45   | Ninjask            |  0.76782% | 2592   |  5.758% | 2506   |  6.919% | 
 | 46   | Hariyama           |  0.69523% | 482    |  1.071% | 417    |  1.151% | 
 | 47   | Rhydon             |  0.63547% | 532    |  1.182% | 421    |  1.162% | 
 | 48   | Jynx               |  0.61413% | 262    |  0.582% | 213    |  0.588% | 
 | 49   | Donphan            |  0.56712% | 1151   |  2.557% | 917    |  2.532% | 
 | 50   | Registeel          |  0.55463% | 635    |  1.411% | 505    |  1.394% | 
 | 51   | Lanturn            |  0.50409% | 702    |  1.559% | 659    |  1.819% | 
 | 52   | Gardevoir          |  0.48009% | 1649   |  3.663% | 1247   |  3.443% | 
 | 53   | Dragonite          |  0.46988% | 968    |  2.150% | 717    |  1.980% | 
 | 54   | Cradily            |  0.44937% | 618    |  1.373% | 394    |  1.088% | 
 | 55   | Aggron             |  0.42894% | 549    |  1.220% | 375    |  1.035% | 
 | 56   | Alakazam           |  0.41237% | 1873   |  4.161% | 1360   |  3.755% | 
 | 57   | Miltank            |  0.40460% | 1187   |  2.637% | 970    |  2.678% | 
 | 58   | Octillery          |  0.38761% | 276    |  0.613% | 178    |  0.491% | 
 | 59   | Machamp            |  0.35868% | 1082   |  2.404% | 872    |  2.408% | 
 | 60   | Sceptile           |  0.26618% | 1764   |  3.919% | 1376   |  3.799% | 
 | 61   | Regirock           |  0.20549% | 369    |  0.820% | 283    |  0.781% | 
 | 62   | Wailord            |  0.20515% | 54     |  0.120% | 41     |  0.113% | 
 | 63   | Omastar            |  0.18251% | 230    |  0.511% | 157    |  0.433% | 
 | 64   | Gligar             |  0.18073% | 116    |  0.258% | 91     |  0.251% | 
 | 65   | Swellow            |  0.15623% | 390    |  0.866% | 289    |  0.798% | 
 | 66   | Houndoom           |  0.14004% | 1907   |  4.236% | 1462   |  4.036% | 
 | 67   | Dusclops           |  0.13497% | 1116   |  2.479% | 907    |  2.504% | 
