 Total battles: 19606
 Avg. weight/team: 0.043
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 72.06481% | 14165  | 36.124% | 11463  | 36.945% | 
 | 2    | Swampert           | 51.79231% | 11387  | 29.040% | 9218   | 29.709% | 
 | 3    | Metagross          | 38.60635% | 11741  | 29.942% | 9425   | 30.376% | 
 | 4    | Skarmory           | 38.39248% | 10382  | 26.477% | 9258   | 29.838% | 
 | 5    | Gengar             | 33.61371% | 13763  | 35.099% | 10855  | 34.985% | 
 | 6    | Zapdos             | 29.81095% | 6180   | 15.760% | 5489   | 17.691% | 
 | 7    | Dugtrio            | 29.78110% | 7658   | 19.530% | 5448   | 17.559% | 
 | 8    | Snorlax            | 29.00023% | 8604   | 21.942% | 6922   | 22.309% | 
 | 9    | Jirachi            | 24.33000% | 4006   | 10.216% | 3196   | 10.301% | 
 | 10   | Suicune            | 24.09092% | 7210   | 18.387% | 5816   | 18.745% | 
 | 11   | Aerodactyl         | 24.05566% | 6826   | 17.408% | 5067   | 16.331% | 
 | 12   | Salamence          | 23.41481% | 9987   | 25.469% | 8222   | 26.499% | 
 | 13   | Blissey            | 22.51908% | 8570   | 21.856% | 6948   | 22.393% | 
 | 14   | Celebi             | 21.38128% | 8454   | 21.560% | 6793   | 21.893% | 
 | 15   | Magneton           | 20.47276% | 6443   | 16.431% | 4459   | 14.371% | 
 | 16   | Jolteon            | 15.80360% | 7071   | 18.033% | 6165   | 19.869% | 
 | 17   | Starmie            | 14.26447% | 4918   | 12.542% | 3625   | 11.683% | 
 | 18   | Claydol            |  9.89853% | 2771   |  7.067% | 2208   |  7.116% | 
 | 19   | Forretress         |  9.05444% | 3311   |  8.444% | 2892   |  9.321% | 
 | 20   | Heracross          |  8.27742% | 5063   | 12.912% | 3809   | 12.276% | 
 | 21   | Flygon             |  7.57422% | 4130   | 10.532% | 3172   | 10.223% | 
 | 22   | Gyarados           |  7.11571% | 3682   |  9.390% | 2957   |  9.530% | 
