 Total battles: 21783
 Avg. weight/team: 0.058
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 63.53757% | 15235  | 34.970% | 12621  | 36.268% | 
 | 2    | Metagross          | 43.89047% | 13439  | 30.847% | 11110  | 31.926% | 
 | 3    | Swampert           | 38.81954% | 13533  | 31.063% | 10880  | 31.265% | 
 | 4    | Gengar             | 37.41188% | 11735  | 26.936% | 9402   | 27.018% | 
 | 5    | Skarmory           | 36.96988% | 11824  | 27.140% | 10671  | 30.665% | 
 | 6    | Suicune            | 29.68310% | 7270   | 16.687% | 5868   | 16.862% | 
 | 7    | Zapdos             | 29.27367% | 9244   | 21.218% | 8208   | 23.587% | 
 | 8    | Snorlax            | 25.94981% | 11385  | 26.133% | 9091   | 26.124% | 
 | 9    | Salamence          | 24.64398% | 11393  | 26.151% | 9182   | 26.386% | 
 | 10   | Dugtrio            | 23.66170% | 8040   | 18.455% | 5822   | 16.730% | 
 | 11   | Jirachi            | 23.08865% | 4615   | 10.593% | 3775   | 10.848% | 
 | 12   | Blissey            | 22.64963% | 9620   | 22.081% | 7917   | 22.751% | 
 | 13   | Celebi             | 22.56161% | 10077  | 23.130% | 8300   | 23.851% | 
 | 14   | Magneton           | 21.68128% | 8250   | 18.937% | 6003   | 17.250% | 
 | 15   | Jolteon            | 17.40973% | 5798   | 13.309% | 4838   | 13.903% | 
 | 16   | Starmie            | 15.13795% | 7341   | 16.850% | 5532   | 15.897% | 
 | 17   | Claydol            | 15.05638% | 3363   |  7.719% | 2661   |  7.647% | 
 | 18   | Heracross          | 11.28671% | 6022   | 13.823% | 4698   | 13.500% | 
 | 19   | Moltres            |  8.91345% | 1796   |  4.122% | 1414   |  4.063% | 
 | 20   | Flygon             |  8.20028% | 3705   |  8.504% | 2785   |  8.003% | 
 | 21   | Cloyster           |  8.00817% | 2743   |  6.296% | 2410   |  6.925% | 
 | 22   | Aerodactyl         |  7.45181% | 5406   | 12.409% | 4014   | 11.535% | 
 | 23   | Milotic            |  6.64506% | 3915   |  8.986% | 3045   |  8.750% | 
 | 24   | Porygon2           |  4.59174% | 1851   |  4.249% | 1430   |  4.109% | 
 | 25   | Vaporeon           |  4.03510% | 3073   |  7.054% | 2351   |  6.756% | 
 | 26   | Raikou             |  3.91151% | 1602   |  3.677% | 1260   |  3.621% | 
 | 27   | Umbreon            |  3.31619% | 2814   |  6.459% | 2298   |  6.604% | 
 | 28   | Forretress         |  3.16493% | 3195   |  7.334% | 2759   |  7.928% | 
