 Total battles: 88232
 Avg. weight/team: 0.112
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 32.91188% | 43676  | 24.751% | 36545  | 25.979% | 
 | 2    | Passimian          | 25.48480% | 26363  | 14.940% | 21146  | 15.032% | 
 | 3    | Steelix            | 22.60240% | 26928  | 15.260% | 23551  | 16.742% | 
 | 4    | Comfey             | 21.00846% | 29596  | 16.772% | 21961  | 15.612% | 
 | 5    | Dhelmise           | 18.32851% | 21344  | 12.095% | 17598  | 12.510% | 
 | 6    | Slowking           | 16.54146% | 20970  | 11.883% | 16787  | 11.934% | 
 | 7    | Heliolisk          | 14.90553% | 24778  | 14.041% | 19237  | 13.675% | 
 | 8    | Blastoise          | 13.59232% | 22544  | 12.775% | 18548  | 13.185% | 
 | 9    | Druddigon          | 13.40504% | 21945  | 12.436% | 19284  | 13.709% | 
 | 10   | Xatu               | 12.88642% | 22771  | 12.904% | 18435  | 13.105% | 
 | 11   | Togedemaru         | 12.62906% | 14787  |  8.380% | 12189  |  8.665% | 
 | 12   | Vaporeon           | 12.56868% | 21052  | 11.930% | 16696  | 11.869% | 
 | 13   | Garbodor           | 11.77747% | 14463  |  8.196% | 12278  |  8.728% | 
 | 14   | Golbat             | 11.54303% | 14924  |  8.457% | 12255  |  8.712% | 
 | 15   | Vileplume          | 10.99299% | 12719  |  7.208% | 10546  |  7.497% | 
 | 16   | Delphox            | 10.50883% | 18173  | 10.298% | 14252  | 10.131% | 
 | 17   | Aerodactyl         | 10.45298% | 17973  | 10.185% | 14794  | 10.517% | 
 | 18   | Weezing            | 10.27933% | 16878  |  9.565% | 14566  | 10.355% | 
 | 19   | Rhydon             | 10.27454% | 15732  |  8.915% | 13155  |  9.352% | 
 | 20   | Glalie-Mega        | 10.24666% | 18503  | 10.485% | 13596  |  9.665% | 
 | 21   | Decidueye          |  9.54928% | 13966  |  7.914% | 11085  |  7.880% | 
 | 22   | Rotom              |  9.15863% | 11743  |  6.655% | 9923   |  7.054% | 
 | 23   | Seismitoad         |  8.85983% | 13543  |  7.675% | 11870  |  8.438% | 
 | 24   | Whimsicott         |  8.85423% | 15310  |  8.676% | 12129  |  8.622% | 
 | 25   | Sigilyph           |  7.95798% | 13292  |  7.532% | 10159  |  7.222% | 
 | 26   | Sneasel            |  7.48532% | 10342  |  5.861% | 7709   |  5.480% | 
 | 27   | Braviary           |  7.24264% | 13172  |  7.464% | 10049  |  7.144% | 
 | 28   | Vikavolt           |  6.98435% | 11663  |  6.609% | 8988   |  6.389% | 
 | 29   | Medicham           |  6.78119% | 11396  |  6.458% | 8794   |  6.251% | 
 | 30   | Pangoro            |  6.54617% | 9662   |  5.475% | 7776   |  5.528% | 
 | 31   | Accelgor           |  6.15814% | 14061  |  7.968% | 11056  |  7.859% | 
 | 32   | Palossand          |  6.03291% | 9834   |  5.573% | 8408   |  5.977% | 
 | 33   | Clawitzer          |  5.82396% | 15536  |  8.804% | 12147  |  8.635% | 
 | 34   | Mismagius          |  5.80247% | 13343  |  7.561% | 10054  |  7.147% | 
 | 35   | Vivillon           |  5.70335% | 9929   |  5.627% | 7391   |  5.254% | 
 | 36   | Typhlosion         |  5.61608% | 15682  |  8.887% | 11952  |  8.496% | 
 | 37   | Scrafty            |  5.59731% | 13166  |  7.461% | 10262  |  7.295% | 
 | 38   | Magmortar          |  5.36619% | 11007  |  6.238% | 8506   |  6.047% | 
 | 39   | Audino-Mega        |  5.21692% | 13306  |  7.540% | 9878   |  7.022% | 
 | 40   | Ambipom            |  5.20906% | 20693  | 11.726% | 17022  | 12.101% | 
 | 41   | Hitmontop          |  5.13506% | 10186  |  5.772% | 8223   |  5.846% | 
 | 42   | Sceptile           |  5.02323% | 12180  |  6.902% | 8965   |  6.373% | 
 | 43   | Malamar            |  4.97210% | 13404  |  7.596% | 10270  |  7.301% | 
 | 44   | Miltank            |  4.95639% | 9753   |  5.527% | 7893   |  5.611% | 
 | 45   | Mesprit            |  4.81982% | 3986   |  2.259% | 3503   |  2.490% | 
 | 46   | Hitmonlee          |  4.80751% | 11683  |  6.621% | 8661   |  6.157% | 
 | 47   | Klinklang          |  4.62170% | 10671  |  6.047% | 8142   |  5.788% | 
 | 48   | Minior             |  4.54989% | 12843  |  7.278% | 9499   |  6.753% | 
 | 49   | Hariyama           |  4.50066% | 8570   |  4.857% | 6948   |  4.939% | 
 | 50   | Piloswine          |  4.11273% | 7676   |  4.350% | 6646   |  4.724% | 
 | 51   | Exeggutor-Alola    |  4.02379% | 7475   |  4.236% | 5772   |  4.103% | 
 | 52   | Torterra           |  3.75322% | 8765   |  4.967% | 7212   |  5.127% | 
 | 53   | Silvally-Steel     |  3.52073% | 7014   |  3.975% | 5851   |  4.159% | 
 | 54   | Abomasnow-Mega     |  3.40361% | 9366   |  5.308% | 7274   |  5.171% | 
 | 55   | Cinccino           |  3.36625% | 14281  |  8.093% | 10698  |  7.605% | 
 | 56   | Ferroseed          |  3.14719% | 8369   |  4.743% | 7283   |  5.177% | 
 | 57   | Charizard          |  3.02001% | 5262   |  2.982% | 4236   |  3.011% | 
 | 58   | Samurott           |  2.91975% | 5089   |  2.884% | 4008   |  2.849% | 
 | 59   | Gallade            |  2.77840% | 4597   |  2.605% | 3514   |  2.498% | 
 | 60   | Gurdurr            |  2.71113% | 1115   |  0.632% | 914    |  0.650% | 
 | 61   | Sandslash-Alola    |  2.25118% | 2200   |  1.247% | 1811   |  1.287% | 
 | 62   | Guzzlord           |  2.19557% | 2628   |  1.489% | 2095   |  1.489% | 
 | 63   | Regirock           |  2.01808% | 2137   |  1.211% | 1884   |  1.339% | 
 | 64   | Electrode          |  2.00811% | 2018   |  1.144% | 1764   |  1.254% | 
 | 65   | Kabutops           |  1.74815% | 2548   |  1.444% | 2042   |  1.452% | 
 | 66   | Sawk               |  1.61963% | 2488   |  1.410% | 1911   |  1.358% | 
 | 67   | Archeops           |  1.44555% | 3952   |  2.240% | 3224   |  2.292% | 
 | 68   | Houndoom           |  1.38992% | 3937   |  2.231% | 3018   |  2.145% | 
 | 69   | Froslass           |  1.38817% | 2423   |  1.373% | 2114   |  1.503% | 
 | 70   | Aromatisse         |  1.29760% | 2090   |  1.184% | 1615   |  1.148% | 
 | 71   | Tauros             |  1.28634% | 3215   |  1.822% | 2324   |  1.652% | 
 | 72   | Claydol            |  1.26520% | 2261   |  1.281% | 1873   |  1.331% | 
 | 73   | Cryogonal          |  1.25898% | 3880   |  2.199% | 2951   |  2.098% | 
 | 74   | Kingler            |  1.20110% | 3909   |  2.215% | 2927   |  2.081% | 
 | 75   | Regice             |  1.18550% | 945    |  0.536% | 777    |  0.552% | 
 | 76   | Pyukumuku          |  1.17357% | 1598   |  0.906% | 1239   |  0.881% | 
 | 77   | Vikavolt-Totem     |  1.17137% | 562    |  0.318% | 463    |  0.329% | 
 | 78   | Ditto              |  1.13646% | 1347   |  0.763% | 1002   |  0.712% | 
 | 79   | Lilligant          |  1.09596% | 2727   |  1.545% | 1936   |  1.376% | 
 | 80   | Aggron             |  1.09482% | 2344   |  1.328% | 1922   |  1.366% | 
 | 81   | Liepard            |  1.08370% | 1899   |  1.076% | 1459   |  1.037% | 
 | 82   | Crabominable       |  1.01331% | 1135   |  0.643% | 856    |  0.609% | 
 | 83   | Victreebel         |  0.97065% | 1790   |  1.014% | 1439   |  1.023% | 
 | 84   | Aurorus            |  0.95673% | 1339   |  0.759% | 1123   |  0.798% | 
 | 85   | Shuckle            |  0.90408% | 3137   |  1.778% | 2817   |  2.003% | 
 | 86   | Sawsbuck           |  0.89430% | 1108   |  0.628% | 831    |  0.591% | 
 | 87   | Hitmonchan         |  0.89128% | 1748   |  0.991% | 1403   |  0.997% | 
 | 88   | Omastar            |  0.85910% | 1714   |  0.971% | 1378   |  0.980% | 
 | 89   | Dodrio             |  0.85742% | 1169   |  0.662% | 888    |  0.631% | 
 | 90   | Ursaring           |  0.77816% | 1062   |  0.602% | 810    |  0.576% | 
 | 91   | Quagsire           |  0.75896% | 2401   |  1.361% | 1871   |  1.330% | 
 | 92   | Pyroar             |  0.75811% | 2423   |  1.373% | 1848   |  1.314% | 
 | 93   | Marowak            |  0.75779% | 675    |  0.383% | 519    |  0.369% | 
 | 94   | Probopass          |  0.74732% | 1372   |  0.777% | 1168   |  0.830% | 
 | 95   | Combusken          |  0.71388% | 735    |  0.417% | 543    |  0.386% | 
 | 96   | Roselia            |  0.70462% | 796    |  0.451% | 654    |  0.465% | 
 | 97   | Carracosta         |  0.70341% | 1214   |  0.688% | 974    |  0.692% | 
 | 98   | Silvally-Ghost     |  0.68583% | 953    |  0.540% | 761    |  0.541% | 
 | 99   | Qwilfish           |  0.63547% | 1280   |  0.725% | 1109   |  0.788% | 
 | 100  | Gastrodon          |  0.61949% | 1675   |  0.949% | 1310   |  0.931% | 
 | 101  | Spiritomb          |  0.61299% | 1433   |  0.812% | 1106   |  0.786% | 
 | 102  | Articuno           |  0.60684% | 1109   |  0.628% | 875    |  0.622% | 
 | 103  | Zangoose           |  0.60649% | 1703   |  0.965% | 1281   |  0.911% | 
 | 104  | Raichu-Alola       |  0.60557% | 1729   |  0.980% | 1323   |  0.940% | 
 | 105  | Lycanroc           |  0.60411% | 1433   |  0.812% | 1149   |  0.817% | 
 | 106  | Silvally-Fairy     |  0.59109% | 844    |  0.478% | 685    |  0.487% | 
 | 107  | Skuntank           |  0.58055% | 1360   |  0.771% | 1040   |  0.739% | 
 | 108  | Lycanroc-Midnight  |  0.57788% | 795    |  0.451% | 571    |  0.406% | 
 | 109  | Eelektross         |  0.56670% | 2089   |  1.184% | 1745   |  1.240% | 
 | 110  | Muk                |  0.54133% | 1524   |  0.864% | 1155   |  0.821% | 
 | 111  | Kangaskhan         |  0.54098% | 556    |  0.315% | 469    |  0.333% | 
 | 112  | Scyther            |  0.52767% | 1534   |  0.869% | 1169   |  0.831% | 
 | 113  | Tangela            |  0.52333% | 1064   |  0.603% | 859    |  0.611% | 
 | 114  | Mudsdale           |  0.52327% | 1756   |  0.995% | 1494   |  1.062% | 
 | 115  | Meowstic           |  0.46898% | 1246   |  0.706% | 966    |  0.687% | 
 | 116  | Silvally-Poison    |  0.44707% | 481    |  0.273% | 392    |  0.279% | 
 | 117  | Persian-Alola      |  0.44355% | 2017   |  1.143% | 1666   |  1.184% | 
 | 118  | Ludicolo           |  0.44284% | 1609   |  0.912% | 1265   |  0.899% | 
 | 119  | Audino             |  0.44181% | 849    |  0.481% | 637    |  0.453% | 
 | 120  | Kecleon            |  0.43541% | 1351   |  0.766% | 1208   |  0.859% | 
 | 121  | Electivire         |  0.42605% | 1558   |  0.883% | 1213   |  0.862% | 
 | 122  | Leavanny           |  0.42236% | 1043   |  0.591% | 945    |  0.672% | 
 | 123  | Lanturn            |  0.41482% | 1165   |  0.660% | 957    |  0.680% | 
 | 124  | Carbink            |  0.41339% | 603    |  0.342% | 547    |  0.389% | 
 | 125  | Komala             |  0.40397% | 1285   |  0.728% | 955    |  0.679% | 
