 Total battles: 121427
 Avg. weight/team: 0.097
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mesprit            | 33.22137% | 51483  | 21.199% | 43358  | 22.627% | 
 | 2    | Hitmonchan         | 17.69727% | 37197  | 15.317% | 29430  | 15.359% | 
 | 3    | Sandslash-Alola    | 17.07386% | 24459  | 10.071% | 20026  | 10.451% | 
 | 4    | Primeape           | 16.13860% | 23879  |  9.833% | 18911  |  9.869% | 
 | 5    | Froslass           | 15.12321% | 24960  | 10.278% | 20856  | 10.884% | 
 | 6    | Skuntank           | 13.61567% | 25674  | 10.572% | 20702  | 10.804% | 
 | 7    | Mudsdale           | 13.32168% | 22323  |  9.192% | 18873  |  9.849% | 
 | 8    | Gurdurr            | 12.70988% | 21135  |  8.703% | 17090  |  8.919% | 
 | 9    | Qwilfish           | 11.25898% | 19462  |  8.014% | 16608  |  8.667% | 
 | 10   | Eelektross         | 10.81535% | 27299  | 11.241% | 22478  | 11.731% | 
 | 11   | Regirock           | 10.45256% | 16597  |  6.834% | 14173  |  7.396% | 
 | 12   | Scyther            | 10.43068% | 23406  |  9.638% | 18288  |  9.544% | 
 | 13   | Guzzlord           | 10.19762% | 17314  |  7.129% | 13578  |  7.086% | 
 | 14   | Lanturn            | 10.05128% | 17753  |  7.310% | 14291  |  7.458% | 
 | 15   | Dodrio             |  9.97219% | 22800  |  9.388% | 16820  |  8.778% | 
 | 16   | Silvally-Fairy     |  9.46488% | 13345  |  5.495% | 10488  |  5.473% | 
 | 17   | Jellicent          |  9.06741% | 19345  |  7.966% | 15472  |  8.074% | 
 | 18   | Persian-Alola      |  8.51808% | 21489  |  8.849% | 17736  |  9.256% | 
 | 19   | Lycanroc           |  7.50559% | 16709  |  6.880% | 13091  |  6.832% | 
 | 20   | Tangela            |  7.49663% | 16862  |  6.943% | 13395  |  6.990% | 
 | 21   | Stoutland          |  7.24079% | 12531  |  5.160% | 9714   |  5.069% | 
 | 22   | Aggron             |  7.22495% | 23748  |  9.779% | 19343  | 10.094% | 
 | 23   | Kangaskhan         |  7.10336% | 11355  |  4.676% | 9237   |  4.820% | 
 | 24   | Raichu-Alola       |  7.07127% | 19681  |  8.104% | 14381  |  7.505% | 
 | 25   | Drampa             |  7.00159% | 16535  |  6.809% | 12271  |  6.404% | 
 | 26   | Roselia            |  6.52272% | 11984  |  4.935% | 9715   |  5.070% | 
 | 27   | Claydol            |  6.41698% | 21699  |  8.935% | 17929  |  9.357% | 
 | 28   | Lurantis           |  6.29369% | 16067  |  6.616% | 12882  |  6.723% | 
 | 29   | Aurorus            |  6.20491% | 15272  |  6.289% | 12238  |  6.387% | 
 | 30   | Omastar            |  6.15426% | 13949  |  5.744% | 10737  |  5.603% | 
 | 31   | Oricorio-Pom-Pom   |  6.11809% | 7532   |  3.101% | 5821   |  3.038% | 
 | 32   | Victreebel         |  6.00183% | 12534  |  5.161% | 9920   |  5.177% | 
 | 33   | Ludicolo           |  5.90233% | 14274  |  5.878% | 11143  |  5.815% | 
 | 34   | Absol              |  5.89223% | 18841  |  7.758% | 14109  |  7.363% | 
 | 35   | Articuno           |  5.84383% | 16793  |  6.915% | 12837  |  6.699% | 
 | 36   | Audino             |  5.78037% | 13454  |  5.540% | 10240  |  5.344% | 
 | 37   | Quagsire           |  5.51674% | 18053  |  7.434% | 14385  |  7.507% | 
 | 38   | Manectric          |  5.48702% | 12662  |  5.214% | 9848   |  5.139% | 
 | 39   | Haunter            |  5.48424% | 17511  |  7.211% | 13166  |  6.871% | 
 | 40   | Oricorio-Sensu     |  5.48404% | 7986   |  3.288% | 6172   |  3.221% | 
 | 41   | Sableye            |  5.34250% | 12293  |  5.062% | 10203  |  5.325% | 
 | 42   | Liepard            |  5.21428% | 12508  |  5.150% | 10306  |  5.378% | 
 | 43   | Golurk             |  5.02054% | 12060  |  4.966% | 9735   |  5.080% | 
 | 44   | Kabutops           |  4.79999% | 10981  |  4.522% | 8288   |  4.325% | 
 | 45   | Clefairy           |  4.77262% | 12228  |  5.035% | 9716   |  5.070% | 
 | 46   | Abomasnow          |  4.42494% | 6255   |  2.576% | 5276   |  2.753% | 
 | 47   | Spiritomb          |  4.33164% | 10513  |  4.329% | 8266   |  4.314% | 
 | 48   | Gastrodon          |  4.26057% | 16108  |  6.633% | 12511  |  6.529% | 
 | 49   | Dugtrio-Alola      |  4.04765% | 10056  |  4.141% | 8120   |  4.238% | 
 | 50   | Volbeat            |  3.99921% | 5461   |  2.249% | 4700   |  2.453% | 
 | 51   | Rotom-Frost        |  3.93987% | 9923   |  4.086% | 7872   |  4.108% | 
 | 52   | Shuckle            |  3.84393% | 10057  |  4.141% | 9079   |  4.738% | 
 | 53   | Carracosta         |  3.79980% | 12069  |  4.970% | 9005   |  4.699% | 
 | 54   | Poliwrath          |  3.33343% | 12180  |  5.015% | 9373   |  4.891% | 
 | 55   | Metang             |  3.09920% | 4005   |  1.649% | 3546   |  1.851% | 
 | 56   | Electrode          |  3.05367% | 5765   |  2.374% | 4943   |  2.580% | 
 | 57   | Lilligant          |  2.66578% | 6064   |  2.497% | 4513   |  2.355% | 
 | 58   | Silvally-Ghost     |  2.61638% | 4920   |  2.026% | 3855   |  2.012% | 
 | 59   | Komala             |  2.47949% | 6323   |  2.604% | 4821   |  2.516% | 
 | 60   | Pinsir             |  2.47834% | 5666   |  2.333% | 4337   |  2.263% | 
 | 61   | Carbink            |  2.38959% | 4146   |  1.707% | 3730   |  1.947% | 
 | 62   | Ursaring           |  2.34027% | 4083   |  1.681% | 3119   |  1.628% | 
 | 63   | Simisear           |  2.30081% | 4966   |  2.045% | 3702   |  1.932% | 
 | 64   | Shiftry            |  2.19055% | 4101   |  1.689% | 3206   |  1.673% | 
 | 65   | Exeggutor          |  2.14749% | 5397   |  2.222% | 4200   |  2.192% | 
 | 66   | Kecleon            |  2.06307% | 5268   |  2.169% | 4421   |  2.307% | 
 | 67   | Muk                |  2.05898% | 4751   |  1.956% | 3825   |  1.996% | 
 | 68   | Swanna             |  2.05036% | 3719   |  1.531% | 2887   |  1.507% | 
 | 69   | Mawile             |  2.03108% | 4679   |  1.927% | 3895   |  2.033% | 
 | 70   | Zangoose           |  2.02927% | 6106   |  2.514% | 4656   |  2.430% | 
 | 71   | Probopass          |  1.90139% | 3278   |  1.350% | 2855   |  1.490% | 
 | 72   | Bellossom          |  1.88058% | 4834   |  1.990% | 3569   |  1.863% | 
 | 73   | Combusken          |  1.87973% | 5187   |  2.136% | 3871   |  2.020% | 
 | 74   | Crabominable       |  1.87163% | 3879   |  1.597% | 2825   |  1.474% | 
 | 75   | Altaria            |  1.84614% | 5558   |  2.289% | 4171   |  2.177% | 
 | 76   | Rapidash           |  1.79435% | 6463   |  2.661% | 4716   |  2.461% | 
 | 77   | Golem              |  1.76232% | 3855   |  1.587% | 3429   |  1.789% | 
 | 78   | Glaceon            |  1.75316% | 3627   |  1.493% | 2659   |  1.388% | 
 | 79   | Ninjask            |  1.74307% | 5076   |  2.090% | 4163   |  2.173% | 
 | 80   | Floatzel           |  1.73602% | 5756   |  2.370% | 4205   |  2.194% | 
 | 81   | Granbull           |  1.72875% | 4732   |  1.948% | 3740   |  1.952% | 
 | 82   | Electivire         |  1.71936% | 6235   |  2.567% | 4779   |  2.494% | 
 | 83   | Sawsbuck           |  1.64901% | 3803   |  1.566% | 2832   |  1.478% | 
 | 84   | Regice             |  1.62162% | 4116   |  1.695% | 3154   |  1.646% | 
 | 85   | Gourgeist-Super    |  1.56658% | 3596   |  1.481% | 2915   |  1.521% | 
 | 86   | Wishiwashi         |  1.54345% | 2659   |  1.095% | 2075   |  1.083% | 
 | 87   | Musharna           |  1.53520% | 3767   |  1.551% | 2917   |  1.522% | 
 | 88   | Kadabra            |  1.52880% | 4782   |  1.969% | 3401   |  1.775% | 
 | 89   | Leavanny           |  1.52244% | 4686   |  1.930% | 4075   |  2.127% | 
 | 90   | Shiinotic          |  1.49827% | 2845   |  1.171% | 2250   |  1.174% | 
 | 91   | Type: Null         |  1.47285% | 2781   |  1.145% | 2075   |  1.083% | 
 | 92   | Turtonator         |  1.44321% | 5111   |  2.105% | 3771   |  1.968% | 
 | 93   | Ditto              |  1.41533% | 7036   |  2.897% | 5241   |  2.735% | 
 | 94   | Meowstic           |  1.39709% | 5129   |  2.112% | 4050   |  2.114% | 
 | 95   | Lickilicky         |  1.38601% | 2959   |  1.218% | 2331   |  1.216% | 
 | 96   | Leafeon            |  1.30315% | 4211   |  1.734% | 3262   |  1.702% | 
 | 97   | Crustle            |  1.23835% | 3947   |  1.625% | 3085   |  1.610% | 
 | 98   | Dusknoir           |  1.22813% | 4743   |  1.953% | 3792   |  1.979% | 
 | 99   | Gorebyss           |  1.22507% | 2980   |  1.227% | 2052   |  1.071% | 
 | 100  | Rampardos          |  1.20418% | 5102   |  2.101% | 3639   |  1.899% | 
 | 101  | Smeargle           |  1.15544% | 5993   |  2.468% | 5128   |  2.676% | 
 | 102  | Mr. Mime           |  1.15519% | 6849   |  2.820% | 5569   |  2.906% | 
 | 103  | Avalugg            |  1.14878% | 3279   |  1.350% | 2583   |  1.348% | 
 | 104  | Chatot             |  1.13836% | 4317   |  1.778% | 3250   |  1.696% | 
 | 105  | Jynx               |  1.08499% | 4190   |  1.725% | 3038   |  1.585% | 
 | 106  | Armaldo            |  1.07640% | 3217   |  1.325% | 2580   |  1.346% | 
 | 107  | Cradily            |  1.05631% | 3649   |  1.503% | 2946   |  1.537% | 
 | 108  | Toucannon          |  1.05320% | 3556   |  1.464% | 2934   |  1.531% | 
 | 109  | Beartic            |  1.04550% | 2616   |  1.077% | 1941   |  1.013% | 
 | 110  | Dusclops           |  1.03712% | 4440   |  1.828% | 3488   |  1.820% | 
 | 111  | Sandslash          |  1.02270% | 3199   |  1.317% | 2644   |  1.380% | 
 | 112  | Golduck            |  1.02100% | 2215   |  0.912% | 1669   |  0.871% | 
 | 113  | Masquerain         |  1.01251% | 4338   |  1.786% | 3661   |  1.911% | 
 | 114  | Flareon            |  1.00371% | 6856   |  2.823% | 5091   |  2.657% | 
 | 115  | Swoobat            |  0.99744% | 4389   |  1.807% | 3221   |  1.681% | 
 | 116  | Camerupt           |  0.98246% | 2814   |  1.159% | 2270   |  1.185% | 
 | 117  | Bouffalant         |  0.96047% | 3208   |  1.321% | 2475   |  1.292% | 
 | 118  | Pikachu            |  0.94198% | 3687   |  1.518% | 2784   |  1.453% | 
 | 119  | Rotom-Fan          |  0.93705% | 2849   |  1.173% | 2422   |  1.264% | 
 | 120  | Silvally-Poison    |  0.92656% | 1342   |  0.553% | 1090   |  0.569% | 
 | 121  | Lumineon           |  0.91460% | 1287   |  0.530% | 1058   |  0.552% | 
 | 122  | Servine            |  0.90978% | 1974   |  0.813% | 1573   |  0.821% | 
 | 123  | Frogadier          |  0.89918% | 1944   |  0.800% | 1559   |  0.814% | 
 | 124  | Basculin           |  0.89317% | 2648   |  1.090% | 2019   |  1.054% | 
 | 125  | Silvally-Dragon    |  0.86670% | 1633   |  0.672% | 1331   |  0.695% | 
 | 126  | Slaking            |  0.86533% | 4478   |  1.844% | 3401   |  1.775% | 
 | 127  | Trevenant          |  0.84219% | 4027   |  1.658% | 3121   |  1.629% | 
 | 128  | Pawniard           |  0.82924% | 1026   |  0.422% | 817    |  0.426% | 
 | 129  | Bronzor            |  0.82878% | 1869   |  0.770% | 1658   |  0.865% | 
 | 130  | Simipour           |  0.80442% | 1799   |  0.741% | 1372   |  0.716% | 
 | 131  | Raticate-Alola     |  0.78767% | 1660   |  0.684% | 1261   |  0.658% | 
 | 132  | Cacturne           |  0.74465% | 2974   |  1.225% | 2365   |  1.234% | 
 | 133  | Togetic            |  0.73376% | 2583   |  1.064% | 2034   |  1.061% | 
 | 134  | Raichu             |  0.72724% | 2424   |  0.998% | 1811   |  0.945% | 
 | 135  | Silvally-Water     |  0.69727% | 1376   |  0.567% | 1120   |  0.584% | 
 | 136  | Illumise           |  0.69092% | 1849   |  0.761% | 1564   |  0.816% | 
 | 137  | Lapras             |  0.68806% | 3960   |  1.631% | 3062   |  1.598% | 
 | 138  | Luxray             |  0.68533% | 3426   |  1.411% | 2648   |  1.382% | 
 | 139  | Koffing            |  0.68256% | 399    |  0.164% | 329    |  0.172% | 
 | 140  | Marowak            |  0.67012% | 2128   |  0.876% | 1598   |  0.834% | 
 | 141  | Throh              |  0.66850% | 2516   |  1.036% | 2054   |  1.072% | 
 | 142  | Arbok              |  0.65951% | 3523   |  1.451% | 2759   |  1.440% | 
 | 143  | Ariados            |  0.65140% | 3773   |  1.554% | 3342   |  1.744% | 
 | 144  | Duosion            |  0.65026% | 1425   |  0.587% | 1047   |  0.546% | 
 | 145  | Lycanroc-Midnight  |  0.64532% | 3038   |  1.251% | 2372   |  1.238% | 
 | 146  | Jumpluff           |  0.63876% | 2209   |  0.910% | 1755   |  0.916% | 
 | 147  | Stunfisk           |  0.63385% | 2164   |  0.891% | 1813   |  0.946% | 
 | 148  | Drifblim           |  0.63255% | 6764   |  2.785% | 4915   |  2.565% | 
 | 149  | Raticate           |  0.62180% | 1869   |  0.770% | 1375   |  0.718% | 
 | 150  | Bastiodon          |  0.61035% | 2290   |  0.943% | 2002   |  1.045% | 
 | 151  | Gogoat             |  0.60172% | 3011   |  1.240% | 2363   |  1.233% | 
 | 152  | Misdreavus         |  0.59591% | 1377   |  0.567% | 1132   |  0.591% | 
 | 153  | Silvally-Dark      |  0.58689% | 590    |  0.243% | 489    |  0.255% | 
 | 154  | Butterfree         |  0.58013% | 3283   |  1.352% | 2561   |  1.337% | 
 | 155  | Beheeyem           |  0.57815% | 2644   |  1.089% | 1994   |  1.041% | 
 | 156  | Pyukumuku          |  0.57717% | 3876   |  1.596% | 3059   |  1.596% | 
 | 157  | Ampharos           |  0.57092% | 2492   |  1.026% | 1929   |  1.007% | 
 | 158  | Regigigas          |  0.56751% | 3348   |  1.379% | 2690   |  1.404% | 
 | 159  | Natu               |  0.56526% | 2348   |  0.967% | 2007   |  1.047% | 
 | 160  | Golem-Alola        |  0.53579% | 2295   |  0.945% | 1821   |  0.950% | 
