 Total battles: 152175
 Avg. weight/team: 0.105
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Blastoise-Mega     | 27.55046% | 71009  | 23.331% | 57650  | 23.943% | 
 | 2    | Metagross          | 23.99436% | 58664  | 19.275% | 47408  | 19.689% | 
 | 3    | Donphan            | 23.23571% | 51718  | 16.993% | 44432  | 18.453% | 
 | 4    | Golisopod          | 18.30329% | 33703  | 11.074% | 27534  | 11.435% | 
 | 5    | Roserade           | 14.23024% | 36406  | 11.962% | 28991  | 12.040% | 
 | 6    | Bronzong           | 13.07298% | 33132  | 10.886% | 29296  | 12.167% | 
 | 7    | Registeel          | 13.01842% | 26230  |  8.618% | 22962  |  9.536% | 
 | 8    | Machamp            | 12.95766% | 30829  | 10.129% | 24581  | 10.209% | 
 | 9    | Salazzle           | 12.24427% | 36351  | 11.944% | 26721  | 11.098% | 
 | 10   | Virizion           | 11.85902% | 22168  |  7.284% | 16623  |  6.904% | 
 | 11   | Florges            | 11.75458% | 32706  | 10.746% | 24994  | 10.380% | 
 | 12   | Nidoqueen          | 11.12802% | 29777  |  9.784% | 24858  | 10.324% | 
 | 13   | Mandibuzz          | 11.04523% | 23655  |  7.772% | 19412  |  8.062% | 
 | 14   | Gardevoir          | 10.82191% | 31443  | 10.331% | 22856  |  9.492% | 
 | 15   | Sceptile-Mega      | 10.59767% | 32981  | 10.837% | 23942  |  9.943% | 
 | 16   | Raikou             | 10.49119% | 25114  |  8.252% | 19646  |  8.159% | 
 | 17   | Forretress         |  9.84446% | 27825  |  9.142% | 25047  | 10.402% | 
 | 18   | Zygarde-10%        |  9.58277% | 24125  |  7.927% | 17858  |  7.417% | 
 | 19   | Arcanine           |  8.97593% | 42282  | 13.893% | 33227  | 13.800% | 
 | 20   | Flygon             |  8.82127% | 33774  | 11.097% | 25997  | 10.797% | 
 | 21   | Noivern            |  8.75776% | 21205  |  6.967% | 16914  |  7.025% | 
 | 22   | Honchkrow          |  7.94546% | 29411  |  9.664% | 22263  |  9.246% | 
 | 23   | Marowak-Alola      |  7.66260% | 23376  |  7.681% | 18683  |  7.759% | 
 | 24   | Linoone            |  7.52457% | 18267  |  6.002% | 13002  |  5.400% | 
 | 25   | Swellow            |  7.46346% | 23669  |  7.777% | 18016  |  7.482% | 
 | 26   | Feraligatr         |  7.35016% | 27662  |  9.089% | 20993  |  8.719% | 
 | 27   | Bewear             |  7.28591% | 18394  |  6.044% | 13887  |  5.767% | 
 | 28   | Necrozma           |  7.03896% | 14320  |  4.705% | 10975  |  4.558% | 
 | 29   | Araquanid          |  7.02930% | 29148  |  9.577% | 24803  | 10.301% | 
 | 30   | Cresselia          |  6.99103% | 21148  |  6.949% | 16444  |  6.829% | 
 | 31   | Toxicroak          |  6.87360% | 17263  |  5.672% | 13203  |  5.483% | 
 | 32   | Milotic            |  6.70214% | 27078  |  8.897% | 21547  |  8.949% | 
 | 33   | Goodra             |  6.25069% | 20408  |  6.705% | 15884  |  6.597% | 
 | 34   | Shaymin            |  6.22767% | 14916  |  4.901% | 11242  |  4.669% | 
 | 35   | Tyrantrum          |  6.12974% | 18062  |  5.935% | 13259  |  5.507% | 
 | 36   | Diancie            |  5.86685% | 14083  |  4.627% | 11714  |  4.865% | 
 | 37   | Espeon             |  5.63472% | 30159  |  9.909% | 22863  |  9.495% | 
 | 38   | Uxie               |  5.61924% | 13234  |  4.348% | 11987  |  4.978% | 
 | 39   | Lycanroc-Dusk      |  5.61572% | 17962  |  5.902% | 13700  |  5.690% | 
 | 40   | Rhyperior          |  5.53707% | 16177  |  5.315% | 13295  |  5.522% | 
 | 41   | Yanmega            |  5.48858% | 16664  |  5.475% | 12791  |  5.312% | 
 | 42   | Snorlax            |  5.35408% | 20902  |  6.868% | 16256  |  6.751% | 
 | 43   | Slowbro            |  5.30691% | 17222  |  5.659% | 13720  |  5.698% | 
 | 44   | Ampharos-Mega      |  5.24305% | 22141  |  7.275% | 16899  |  7.018% | 
 | 45   | Porygon2           |  5.20202% | 18117  |  5.953% | 14324  |  5.949% | 
 | 46   | Cloyster           |  4.92091% | 28752  |  9.447% | 21631  |  8.984% | 
 | 47   | Galvantula         |  4.80997% | 30846  | 10.135% | 27116  | 11.262% | 
 | 48   | Umbreon            |  4.70727% | 23087  |  7.586% | 17829  |  7.405% | 
 | 49   | Jolteon            |  4.70178% | 22159  |  7.281% | 17421  |  7.235% | 
 | 50   | Tsareena           |  4.68467% | 13306  |  4.372% | 10328  |  4.289% | 
 | 51   | Drapion            |  4.42060% | 20140  |  6.617% | 16073  |  6.675% | 
 | 52   | Mantine            |  4.39398% | 13841  |  4.548% | 11171  |  4.639% | 
 | 53   | Banette-Mega       |  4.36912% | 21180  |  6.959% | 16185  |  6.722% | 
 | 54   | Barbaracle         |  4.11549% | 7638   |  2.510% | 5282   |  2.194% | 
 | 55   | Escavalier         |  3.97375% | 15106  |  4.963% | 12246  |  5.086% | 
 | 56   | Ninetales          |  3.81171% | 13817  |  4.540% | 11074  |  4.599% | 
 | 57   | Dragalge           |  3.62416% | 11228  |  3.689% | 8682   |  3.606% | 
 | 58   | Slurpuff           |  3.60358% | 8934   |  2.935% | 6553   |  2.722% | 
 | 59   | Rotom-Mow          |  3.37414% | 13273  |  4.361% | 10919  |  4.535% | 
 | 60   | Emboar             |  3.22773% | 12667  |  4.162% | 9864   |  4.097% | 
 | 61   | Ribombee           |  3.19207% | 8925   |  2.932% | 7301   |  3.032% | 
 | 62   | Houndoom           |  3.17786% | 5490   |  1.804% | 4324   |  1.796% | 
 | 63   | Hoopa              |  2.92953% | 4766   |  1.566% | 3646   |  1.514% | 
 | 64   | Gigalith           |  2.67497% | 5722   |  1.880% | 5108   |  2.121% | 
 | 65   | Mismagius          |  2.19284% | 5059   |  1.662% | 3939   |  1.636% | 
 | 66   | Camerupt-Mega      |  2.14076% | 6102   |  2.005% | 4876   |  2.025% | 
 | 67   | Electrode          |  2.07944% | 4056   |  1.333% | 3629   |  1.507% | 
 | 68   | Cofagrigus         |  1.96804% | 8773   |  2.883% | 7070   |  2.936% | 
 | 69   | Venusaur           |  1.94407% | 8315   |  2.732% | 6495   |  2.697% | 
 | 70   | Tangela            |  1.73027% | 2995   |  0.984% | 2469   |  1.025% | 
 | 71   | Xatu               |  1.67618% | 4117   |  1.353% | 3416   |  1.419% | 
 | 72   | Aerodactyl         |  1.60496% | 4250   |  1.396% | 3672   |  1.525% | 
 | 73   | Vaporeon           |  1.57865% | 4740   |  1.557% | 3801   |  1.579% | 
 | 74   | Sigilyph           |  1.46898% | 3362   |  1.105% | 2522   |  1.047% | 
 | 75   | Togedemaru         |  1.45206% | 1867   |  0.613% | 1562   |  0.649% | 
 | 76   | Stakataka          |  1.43557% | 2137   |  0.702% | 1772   |  0.736% | 
 | 77   | Abomasnow-Mega     |  1.41596% | 2824   |  0.928% | 2161   |  0.897% | 
 | 78   | Exploud            |  1.39225% | 3732   |  1.226% | 2919   |  1.212% | 
 | 79   | Steelix            |  1.39150% | 4335   |  1.424% | 3649   |  1.515% | 
 | 80   | Hitmonlee          |  1.37021% | 3416   |  1.122% | 2527   |  1.050% | 
 | 81   | Froslass           |  1.35824% | 2159   |  0.709% | 1938   |  0.805% | 
 | 82   | Hariyama           |  1.34884% | 2529   |  0.831% | 2085   |  0.866% | 
 | 83   | Heliolisk          |  1.33030% | 2812   |  0.924% | 2045   |  0.849% | 
 | 84   | Incineroar         |  1.31498% | 5305   |  1.743% | 4512   |  1.874% | 
 | 85   | Comfey             |  1.28244% | 2937   |  0.965% | 2170   |  0.901% | 
 | 86   | Glalie-Mega        |  1.27629% | 4116   |  1.352% | 3034   |  1.260% | 
 | 87   | Vanilluxe          |  1.24833% | 2905   |  0.954% | 2275   |  0.945% | 
 | 88   | Druddigon          |  1.24808% | 3498   |  1.149% | 3047   |  1.265% | 
 | 89   | Passimian          |  1.24313% | 2210   |  0.726% | 1744   |  0.724% | 
 | 90   | Gastrodon          |  1.24187% | 2076   |  0.682% | 1739   |  0.722% | 
 | 91   | Reuniclus          |  1.23903% | 1410   |  0.463% | 1033   |  0.429% | 
 | 92   | Whimsicott         |  1.16930% | 3464   |  1.138% | 2726   |  1.132% | 
 | 93   | Quagsire           |  1.15688% | 3509   |  1.153% | 2751   |  1.143% | 
 | 94   | Dhelmise           |  1.12374% | 3442   |  1.131% | 2764   |  1.148% | 
 | 95   | Bruxish            |  1.11932% | 3601   |  1.183% | 2678   |  1.112% | 
 | 96   | Pangoro            |  1.08552% | 3625   |  1.191% | 2889   |  1.200% | 
 | 97   | Torkoal            |  1.08198% | 4412   |  1.450% | 4007   |  1.664% | 
 | 98   | Stoutland          |  1.03114% | 2267   |  0.745% | 1708   |  0.709% | 
 | 99   | Braviary           |  1.02069% | 2539   |  0.834% | 1959   |  0.814% | 
 | 100  | Kingdra            |  1.01992% | 5407   |  1.777% | 4032   |  1.675% | 
 | 101  | Meowstic           |  1.01874% | 1671   |  0.549% | 1353   |  0.562% | 
 | 102  | Golbat             |  1.01356% | 2563   |  0.842% | 2132   |  0.885% | 
 | 103  | Slowking           |  0.98486% | 2750   |  0.904% | 2216   |  0.920% | 
 | 104  | Aromatisse         |  0.95335% | 1266   |  0.416% | 977    |  0.406% | 
 | 105  | Golem-Alola        |  0.91950% | 1557   |  0.512% | 1229   |  0.510% | 
 | 106  | Minior             |  0.87025% | 2400   |  0.789% | 1718   |  0.714% | 
 | 107  | Medicham           |  0.83841% | 1811   |  0.595% | 1416   |  0.588% | 
 | 108  | Vikavolt           |  0.79766% | 2196   |  0.722% | 1782   |  0.740% | 
 | 109  | Aurorus            |  0.76803% | 961    |  0.316% | 829    |  0.344% | 
 | 110  | Shuckle            |  0.70938% | 3021   |  0.993% | 2655   |  1.103% | 
 | 111  | Seismitoad         |  0.69905% | 1925   |  0.632% | 1694   |  0.704% | 
 | 112  | Ambipom            |  0.69515% | 4140   |  1.360% | 3508   |  1.457% | 
 | 113  | Sneasel            |  0.67060% | 1545   |  0.508% | 1191   |  0.495% | 
 | 114  | Typhlosion         |  0.63255% | 2461   |  0.809% | 1897   |  0.788% | 
 | 115  | Scrafty            |  0.62883% | 2798   |  0.919% | 2245   |  0.932% | 
 | 116  | Slowbro-Mega       |  0.61167% | 679    |  0.223% | 554    |  0.230% | 
 | 117  | Malamar            |  0.59585% | 2981   |  0.979% | 2242   |  0.931% | 
 | 118  | Charizard          |  0.59289% | 3126   |  1.027% | 2401   |  0.997% | 
 | 119  | Swoobat            |  0.59218% | 753    |  0.247% | 575    |  0.239% | 
 | 120  | Slaking            |  0.56872% | 4756   |  1.563% | 3486   |  1.448% | 
 | 121  | Mudsdale           |  0.52400% | 1754   |  0.576% | 1455   |  0.604% | 
 | 122  | Turtonator         |  0.50250% | 913    |  0.300% | 652    |  0.271% | 
 | 123  | Lycanroc           |  0.48209% | 867    |  0.285% | 753    |  0.313% | 
 | 124  | Sawk               |  0.46573% | 898    |  0.295% | 726    |  0.302% | 
 | 125  | Torterra           |  0.44748% | 2061   |  0.677% | 1651   |  0.686% | 
 | 126  | Decidueye          |  0.44099% | 2035   |  0.669% | 1633   |  0.678% | 
 | 127  | Weezing            |  0.41995% | 1772   |  0.582% | 1515   |  0.629% | 
 | 128  | Jellicent          |  0.41472% | 1537   |  0.505% | 1261   |  0.524% | 
 | 129  | Archeops           |  0.41373% | 1397   |  0.459% | 1255   |  0.521% | 
 | 130  | Ditto              |  0.40790% | 2121   |  0.697% | 1597   |  0.663% | 
 | 131  | Mesprit            |  0.35620% | 672    |  0.221% | 570    |  0.237% | 
 | 132  | Delphox            |  0.34099% | 2171   |  0.713% | 1692   |  0.703% | 
 | 133  | Miltank            |  0.32651% | 1514   |  0.497% | 1215   |  0.505% | 
 | 134  | Accelgor           |  0.31366% | 1561   |  0.513% | 1278   |  0.531% | 
 | 135  | Vileplume          |  0.31292% | 1137   |  0.374% | 904    |  0.375% | 
 | 136  | Hitmontop          |  0.30588% | 1705   |  0.560% | 1397   |  0.580% | 
 | 137  | Gallade            |  0.30367% | 1064   |  0.350% | 813    |  0.338% | 
 | 138  | Probopass          |  0.30278% | 507    |  0.167% | 441    |  0.183% | 
 | 139  | Ninjask            |  0.30147% | 812    |  0.267% | 667    |  0.277% | 
 | 140  | Pyukumuku          |  0.29606% | 1583   |  0.520% | 1256   |  0.522% | 
 | 141  | Araquanid-Totem    |  0.29447% | 382    |  0.126% | 305    |  0.127% | 
 | 142  | Shiftry            |  0.29039% | 899    |  0.295% | 679    |  0.282% | 
 | 143  | Smeargle           |  0.28912% | 1174   |  0.386% | 1072   |  0.445% | 
 | 144  | Piloswine          |  0.28315% | 975    |  0.320% | 859    |  0.357% | 
 | 145  | Cinccino           |  0.27435% | 2372   |  0.779% | 1803   |  0.749% | 
 | 146  | Absol              |  0.27380% | 1203   |  0.395% | 954    |  0.396% | 
 | 147  | Klinklang          |  0.26779% | 1049   |  0.345% | 811    |  0.337% | 
 | 148  | Sableye            |  0.26541% | 1733   |  0.569% | 1443   |  0.599% | 
 | 149  | Blastoise          |  0.26403% | 1462   |  0.480% | 1219   |  0.506% | 
 | 150  | Qwilfish           |  0.26115% | 897    |  0.295% | 777    |  0.323% | 
 | 151  | Audino-Mega        |  0.25501% | 1626   |  0.534% | 1200   |  0.498% | 
 | 152  | Exeggutor-Alola    |  0.25400% | 993    |  0.326% | 756    |  0.314% | 
 | 153  | Articuno           |  0.25243% | 931    |  0.306% | 676    |  0.281% | 
 | 154  | Gourgeist-Super    |  0.24972% | 395    |  0.130% | 300    |  0.125% | 
 | 155  | Persian-Alola      |  0.24617% | 1257   |  0.413% | 1009   |  0.419% | 
 | 156  | Leafeon            |  0.24596% | 2172   |  0.714% | 1684   |  0.699% | 
 | 157  | Oricorio-Sensu     |  0.24064% | 209    |  0.069% | 176    |  0.073% | 
 | 158  | Hitmonchan         |  0.23884% | 1694   |  0.557% | 1393   |  0.579% | 
 | 159  | Avalugg            |  0.23322% | 630    |  0.207% | 490    |  0.204% | 
 | 160  | Cradily            |  0.22398% | 948    |  0.311% | 742    |  0.308% | 
 | 161  | Guzzlord           |  0.22131% | 420    |  0.138% | 326    |  0.135% | 
 | 162  | Scyther            |  0.20685% | 1226   |  0.403% | 968    |  0.402% | 
 | 163  | Clawitzer          |  0.20025% | 924    |  0.304% | 746    |  0.310% | 
 | 164  | Palossand          |  0.19822% | 1314   |  0.432% | 1098   |  0.456% | 
 | 165  | Regigigas          |  0.19152% | 856    |  0.281% | 644    |  0.267% | 
 | 166  | Ferroseed          |  0.18015% | 966    |  0.317% | 844    |  0.351% | 
 | 167  | Pikachu            |  0.17703% | 944    |  0.310% | 756    |  0.314% | 
 | 168  | Crabominable       |  0.17203% | 395    |  0.130% | 290    |  0.120% | 
 | 169  | Poliwrath          |  0.16838% | 536    |  0.176% | 405    |  0.168% | 
 | 170  | Dugtrio-Alola      |  0.16158% | 633    |  0.208% | 528    |  0.219% | 
