 Total battles: 296877
 Avg. weight/team: 0.127
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Scizor             | 40.36861% | 160249 | 26.989% | 129214 | 27.395% | 
 | 2    | Latias             | 25.04994% | 96250  | 16.210% | 73420  | 15.566% | 
 | 3    | Hydreigon          | 21.08764% | 101915 | 17.165% | 80177  | 16.999% | 
 | 4    | Altaria-Mega       | 15.38216% | 63585  | 10.709% | 47878  | 10.151% | 
 | 5    | Infernape          | 15.28736% | 98214  | 16.541% | 76916  | 16.307% | 
 | 6    | Gligar             | 14.91283% | 58588  |  9.867% | 50301  | 10.665% | 
 | 7    | Rotom-Heat         | 14.31092% | 67881  | 11.433% | 57518  | 12.195% | 
 | 8    | Krookodile         | 13.24002% | 70367  | 11.851% | 58100  | 12.318% | 
 | 9    | Sharpedo-Mega      | 12.84111% | 45634  |  7.686% | 31897  |  6.763% | 
 | 10   | Primarina          | 12.58059% | 54630  |  9.201% | 44618  |  9.460% | 
 | 11   | Empoleon           | 11.91337% | 67942  | 11.443% | 57865  | 12.268% | 
 | 12   | Blissey            | 11.39124% | 55826  |  9.402% | 43666  |  9.258% | 
 | 13   | Tentacruel         | 10.39385% | 50937  |  8.579% | 41847  |  8.872% | 
 | 14   | Terrakion          | 10.36496% | 38727  |  6.522% | 29402  |  6.234% | 
 | 15   | Cobalion           | 10.29575% | 38077  |  6.413% | 30980  |  6.568% | 
 | 16   | Klefki             | 10.27212% | 47018  |  7.919% | 40780  |  8.646% | 
 | 17   | Aerodactyl-Mega    |  9.95308% | 54191  |  9.127% | 41377  |  8.773% | 
 | 18   | Amoonguss          |  9.91141% | 56637  |  9.539% | 44895  |  9.518% | 
 | 19   | Hippowdon          |  9.52860% | 45434  |  7.652% | 40141  |  8.511% | 
 | 20   | Bisharp            |  9.52074% | 53996  |  9.094% | 41121  |  8.718% | 
 | 21   | Togekiss           |  9.49840% | 65582  | 11.045% | 50399  | 10.685% | 
 | 22   | Mamoswine          |  9.29624% | 54695  |  9.212% | 45167  |  9.576% | 
 | 23   | Manectric-Mega     |  8.89311% | 53778  |  9.057% | 42452  |  9.001% | 
 | 24   | Zeraora            |  8.77681% | 74160  | 12.490% | 58089  | 12.316% | 
 | 25   | Crawdaunt          |  8.77095% | 44816  |  7.548% | 35555  |  7.538% | 
 | 26   | Azelf              |  8.58337% | 44538  |  7.501% | 40226  |  8.529% | 
 | 27   | Swampert           |  8.03850% | 49611  |  8.355% | 44722  |  9.482% | 
 | 28   | Moltres            |  7.82791% | 32034  |  5.395% | 25691  |  5.447% | 
 | 29   | Lucario            |  7.61960% | 35478  |  5.975% | 26546  |  5.628% | 
 | 30   | Aggron-Mega        |  7.14164% | 42388  |  7.139% | 36325  |  7.701% | 
 | 31   | Beedrill-Mega      |  6.90594% | 75129  | 12.653% | 58345  | 12.370% | 
 | 32   | Celebi             |  6.85036% | 43790  |  7.375% | 34315  |  7.275% | 
 | 33   | Sylveon            |  6.81884% | 49103  |  8.270% | 37180  |  7.883% | 
 | 34   | Alomomola          |  6.62252% | 32506  |  5.475% | 25744  |  5.458% | 
 | 35   | Nidoking           |  6.30373% | 46458  |  7.824% | 36178  |  7.670% | 
 | 36   | Gengar             |  6.29066% | 48638  |  8.192% | 35224  |  7.468% | 
 | 37   | Nihilego           |  6.16390% | 32608  |  5.492% | 25540  |  5.415% | 
 | 38   | Suicune            |  6.09609% | 35830  |  6.034% | 28828  |  6.112% | 
 | 39   | Starmie            |  5.79632% | 41322  |  6.959% | 31897  |  6.763% | 
 | 40   | Chesnaught         |  5.74125% | 37576  |  6.329% | 30231  |  6.409% | 
 | 41   | Haxorus            |  5.66046% | 38067  |  6.411% | 27797  |  5.893% | 
 | 42   | Muk-Alola          |  5.34498% | 41435  |  6.978% | 33312  |  7.063% | 
 | 43   | Chandelure         |  5.00941% | 50865  |  8.567% | 37595  |  7.971% | 
 | 44   | Volcanion          |  4.98838% | 34640  |  5.834% | 28505  |  6.044% | 
 | 45   | Doublade           |  4.95566% | 26137  |  4.402% | 20600  |  4.368% | 
 | 46   | Steelix-Mega       |  4.47974% | 18908  |  3.184% | 16486  |  3.495% | 
 | 47   | Magneton           |  4.45418% | 23556  |  3.967% | 18693  |  3.963% | 
 | 48   | Quagsire           |  3.92180% | 11575  |  1.949% | 8855   |  1.877% | 
 | 49   | Crobat             |  3.88503% | 41574  |  7.002% | 32775  |  6.949% | 
 | 50   | Pidgeot-Mega       |  3.60540% | 27786  |  4.680% | 21278  |  4.511% | 
 | 51   | Nidoqueen          |  3.30188% | 7570   |  1.275% | 6573   |  1.394% | 
 | 52   | Sceptile-Mega      |  3.05631% | 24536  |  4.132% | 18714  |  3.968% | 
 | 53   | Florges            |  2.96602% | 11987  |  2.019% | 9381   |  1.989% | 
