[hide=DPP OU (1630 stats)][code]Combined usage for DPP OU (1630 stats)
+ ---- + ------------------ + ------- +
| Rank | Pokemon            | Percent |
+ ---- + ------------------ + ------- +
|   0  | Tyranitar          | 52.468% |
|   1  | Jirachi            | 39.051% |
|   2  | Heatran            | 30.444% |
|   3  | Starmie            | 28.813% |
|   4  | Latias             | 26.713% |
|   5  | Dragonite          | 21.665% |
|   6  | Scizor             | 20.487% |
|   7  | Flygon             | 19.034% |
|   8  | Swampert           | 18.445% |
|   9  | Gyarados           | 18.333% |
|  10  | Breloom            | 17.802% |
|  11  | Rotom-Heat         | 17.595% |
|  12  | Rotom-Wash         | 16.294% |
|  13  | Infernape          | 15.650% |
|  14  | Skarmory           | 15.160% |
|  15  | Metagross          | 14.911% |
|  16  | Gengar             | 14.229% |
|  17  | Bronzong           | 13.510% |
|  18  | Zapdos             | 12.911% |
|  19  | Kingdra            | 12.416% |
|  20  | Lucario            | 11.686% |
|  21  | Machamp            | 10.533% |
|  22  | Magnezone          | 10.471% |
|  23  | Azelf              | 10.304% |
|  24  | Gliscor            |  9.529% |
|  25  | Clefable           |  9.002% |
|  26  | Empoleon           |  8.422% |
|  27  | Suicune            |  8.299% |
|  28  | Roserade           |  8.100% |
|  29  | Celebi             |  6.079% |
|  30  | Dugtrio            |  6.079% |
|  31  | Blissey            |  5.442% |
|  32  | Nidoqueen          |  4.804% |
|  33  | Tentacruel         |  4.168% |
|  34  | Hippowdon          |  4.008% |
|  35  | Aerodactyl         |  3.724% |
|  36  | Jolteon            |  3.481% |
|  37  | Weavile            |  3.130% |
|  38  | Forretress         |  3.019% |
|  39  | Shaymin            |  2.920% |
|  40  | Mamoswine          |  2.766% |
|  41  | Milotic            |  2.551% |
|  42  | Uxie               |  2.174% |
|  43  | Abomasnow          |  2.166% |
|  44  | Vaporeon           |  1.811% |
|  45  | Raikou             |  1.629% |
|  46  | Smeargle           |  1.589% |
|  47  | Cresselia          |  1.521% |
|  48  | Rotom-Mow          |  1.340% |
|  49  | Heracross          |  1.295% |
|  50  | Togekiss           |  1.289% |
|  51  | Snorlax            |  1.227% |
|  52  | Gallade            |  1.126% |
|  53  | Rhyperior          |  1.001% |
|  54  | Electivire         |  0.935% |
|  55  | Dusknoir           |  0.924% |
|  56  | Spiritomb          |  0.776% |
|  57  | Crobat             |  0.734% |
|  58  | Donphan            |  0.685% |
|  59  | Slowbro            |  0.663% |
|  60  | Yanmega            |  0.629% |
|  61  | Ludicolo           |  0.627% |
|  62  | Cradily            |  0.526% |
|  63  | Claydol            |  0.488% |
|  64  | Venusaur           |  0.480% |
|  65  | Froslass           |  0.464% |
|  66  | Walrein            |  0.440% |
|  67  | Qwilfish           |  0.394% |
|  68  | Hitmontop          |  0.393% |
|  69  | Porygon-Z          |  0.370% |
|  70  | Staraptor          |  0.355% |
|  71  | Kabutops           |  0.344% |
|  72  | Feraligatr         |  0.328% |
|  73  | Rotom-Frost        |  0.298% |
|  74  | Honchkrow          |  0.240% |
|  75  | Quagsire           |  0.214% |
|  76  | Mesprit            |  0.214% |
|  77  | Hariyama           |  0.211% |
|  78  | Umbreon            |  0.209% |
|  79  | Azumarill          |  0.209% |
|  80  | Ninjask            |  0.194% |
|  81  | Alakazam           |  0.194% |
|  82  | Aggron             |  0.192% |
|  83  | Rotom-Fan          |  0.161% |
|  84  | Moltres            |  0.158% |
|  85  | Tangrowth          |  0.142% |
|  86  | Cacturne           |  0.136% |
|  87  | Porygon2           |  0.131% |
|  88  | Ambipom            |  0.129% |
|  89  | Exeggutor          |  0.125% |
|  90  | Sceptile           |  0.122% |
|  91  | Weezing            |  0.121% |
|  92  | Blastoise          |  0.118% |
|  93  | Gastrodon          |  0.099% |
|  94  | Miltank            |  0.098% |
|  95  | Mismagius          |  0.096% |
|  96  | Arcanine           |  0.093% |
|  97  | Registeel          |  0.089% |
|  98  | Ampharos           |  0.084% |
|  99  | Lanturn            |  0.081% |
| 100  | Nidoking           |  0.079% |
| 101  | Torterra           |  0.073% |
| 102  | Blaziken           |  0.072% |
| 103  | Toxicroak          |  0.071% |
| 104  | Rampardos          |  0.070% |
| 105  | Magneton           |  0.070% |
| 106  | Cloyster           |  0.067% |
| 107  | Swellow            |  0.065% |
| 108  | Drapion            |  0.064% |
| 109  | Absol              |  0.063% |
| 110  | Pikachu            |  0.061% |
| 111  | Marowak            |  0.058% |
| 112  | Steelix            |  0.053% |
| 113  | Phanpy             |  0.053% |
| 114  | Charizard          |  0.052% |
| 115  | Poliwrath          |  0.048% |
| 116  | Slowking           |  0.048% |
| 117  | Typhlosion         |  0.046% |
| 118  | Hitmonlee          |  0.046% |
| 119  | Sunflora           |  0.044% |
| 120  | Camerupt           |  0.044% |
| 121  | Omastar            |  0.044% |
| 122  | Slaking            |  0.042% |
| 123  | Houndoom           |  0.041% |
| 124  | Lickilicky         |  0.040% |
| 125  | Jynx               |  0.040% |
| 126  | Phione             |  0.039% |
| 127  | Victreebel         |  0.037% |
| 128  | Magmortar          |  0.035% |
| 129  | Jumpluff           |  0.035% |
| 130  | Rapidash           |  0.033% |
| 131  | Glaceon            |  0.032% |
| 132  | Probopass          |  0.031% |
| 133  | Gardevoir          |  0.029% |
| 134  | Entei              |  0.029% |
| 135  | Tauros             |  0.029% |
| 136  | Medicham           |  0.029% |
| 137  | Espeon             |  0.027% |
| 138  | Primeape           |  0.025% |
| 139  | Ursaring           |  0.022% |
| 140  | Gorebyss           |  0.021% |
| 141  | Butterfree         |  0.021% |
| 142  | Leafeon            |  0.020% |
